label,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
22,20.0,13.65685424949238,0.6381682701976977,1.0,5.046265044040321,177.75,149.05,0.5554941892623901,0.6380146145820618,0.59871155
23,49.0,32.48528137423857,0.9511516722443037,0.8305084745762712,7.898654169668588,413.51020408163265,155.16326530612244,0.5388674139976501,0.8452052474021912,0.6218073
24,19.0,13.65685424949238,0.776661503145017,1.0,4.918490759365935,145.57894736842104,154.31578947368422,0.6084422469139099,0.6206516027450562,0.6147713
25,10.0,9.035533905932738,0.9457452108775426,0.7692307692307693,3.5682482323055424,162.9,160.7,0.6094238758087158,0.6267869472503662,0.61928344
26,11.0,10.242640687119286,0.8029966139691335,1.0,3.742410318509555,219.72727272727272,160.72727272727272,0.6003435850143433,0.6033499240875244,0.60168225
27,30.0,18.65685424949238,0.585636197894188,0.8108108108108109,6.180387232371033,226.96666666666667,161.93333333333334,0.5801582932472229,0.6298546195030212,0.6116837
28,18.0,14.0,0.8783100656536799,1.0,4.787307364817192,192.0,168.5,0.524756133556366,0.545677661895752,0.53515893
29,51.0,30.349242404917497,0.6866230185288154,0.7183098591549296,8.058239062071396,217.45098039215685,170.8235294117647,0.5451254844665527,0.6266642212867737,0.566936
30,10.0,8.207106781186548,0.6546536707079772,0.9090909090909091,3.5682482323055424,140.9,170.2,0.6151911020278931,0.6293023824691772,0.62147367
31,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,245.0,171.5,0.6132891774177551,0.6167863011360168,0.6150607
32,25.0,16.82842712474619,0.8279907159480056,1.0,5.641895835477563,412.32,171.36,0.47831153869628906,0.6326768398284912,0.5741285
33,18.0,13.65685424949238,0.6625654585447003,0.9,4.787307364817192,148.83333333333334,173.72222222222223,0.5633474588394165,0.5763543844223022,0.569493
34,42.0,27.14213562373095,0.9318677146649701,0.711864406779661,7.312732791431452,199.26190476190476,177.21428571428572,0.5495429039001465,0.5704644322395325,0.56517196
35,28.0,17.65685424949238,0.8599394154935147,1.0,5.970821321441846,11.5,178.5,0.6340266466140747,0.635192334651947,0.6346095
36,50.0,25.899494936611667,0.8650686768654942,0.9615384615384616,7.978845608028654,401.6,177.96,0.5691760182380676,0.6336585283279419,0.6064139
37,32.0,19.65685424949238,0.8918825850158447,1.0,6.383076486422923,178.5,182.0,0.5462298393249512,0.6104668974876404,0.5964074
38,58.0,25.899494936611667,0.7131236476782825,0.9830508474576272,8.593479713983122,188.5344827586207,184.01724137931035,0.5096631646156311,0.6356831789016724,0.5914368
39,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,287.5,184.0,0.5836554169654846,0.593656063079834,0.58851004
40,36.0,21.106601717798213,0.6888777258038467,0.9230769230769231,6.770275002573076,137.91666666666666,184.25,0.5513221621513367,0.6375237703323364,0.6059915
41,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,212.5,187.0,0.5262286067008972,0.5291735529899597,0.5276781
42,9558.0,513.5229073212244,0.6105246022216638,0.8984771573604061,110.31601682701694,78.0516844528144,188.61016949152543,0.0,0.6996748447418213,0.40417615
43,10.0,8.207106781186548,0.6546536707079772,0.9090909090909091,3.5682482323055424,153.2,189.1,0.6158046722412109,0.6285661458969116,0.623075
44,10.0,8.207106781186548,0.6546536707079772,0.9090909090909091,3.5682482323055424,201.2,189.1,0.6291183233261108,0.630222737789154,0.62971354
45,10.0,8.207106781186548,0.6546536707079772,0.9090909090909091,3.5682482323055424,392.2,188.9,0.6296705603599548,0.6332904100418091,0.6312841
46,5.0,5.207106781186548,0.816496580927726,1.0,2.5231325220201604,164.4,195.2,0.6315724849700928,0.6369715929031372,0.63455427
47,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,185.5,194.0,0.6339039206504822,0.635192334651947,0.6345251
48,11.0,8.414213562373096,0.674199862463242,0.8461538461538461,3.742410318509555,222.8181818181818,194.0,0.6072764992713928,0.6233510971069336,0.6094016
49,19.0,13.65685424949238,0.7766615031450171,1.0,4.918490759365935,410.6842105263158,194.42105263157896,0.5132216811180115,0.6206516027450562,0.5907369
50,25.0,17.65685424949238,0.7857443602734853,0.7352941176470589,5.641895835477563,10.36,194.8,0.6359899640083313,0.6360512971878052,0.63604635
51,12.0,9.65685424949238,0.0,1.0,3.9088200952233594,282.5,195.5,0.618565559387207,0.6230443716049194,0.6207947
52,63.0,35.7634559672906,0.912354890404393,0.8181818181818182,8.95623198216277,396.6031746031746,199.14285714285714,0.5546966195106506,0.6329836249351501,0.59902394
53,5.0,5.414213562373095,0.9380831519646858,1.0,2.5231325220201604,163.8,197.8,0.6309589743614197,0.6383213400840759,0.63525367
54,19.0,13.65685424949238,0.776661503145017,1.0,4.918490759365935,219.68421052631578,200.57894736842104,0.5492361783981323,0.5969077944755554,0.5857576
55,25.0,16.485281374238568,0.6589752126678906,0.8928571428571429,5.641895835477563,269.72,200.44,0.6281980276107788,0.6366034746170044,0.63253206
56,37.0,19.31370849898476,0.0,1.0,6.863662517577698,204.0,201.0,0.5723050236701965,0.592428982257843,0.5869669
57,85.0,36.17766952966369,0.852606689143825,0.8854166666666666,10.403141895720198,145.1764705882353,204.72941176470587,0.5341432094573975,0.6443953514099121,0.6135627
58,85.0,34.14213562373095,0.6712414522802735,0.9139784946236559,10.403141895720198,12.176470588235293,209.11764705882354,0.5594821572303772,0.6360512971878052,0.5959023
59,20.0,14.414213562373096,0.9109659701031064,0.9090909090909091,5.046265044040321,397.0,209.5,0.5698509216308594,0.6289956569671631,0.60034055
60,11.0,8.414213562373096,0.7905694150420949,0.8461538461538461,3.742410318509555,158.0,214.0,0.6220013499259949,0.6298546195030212,0.62588334
61,6954.0,498.2386360737624,0.6272877238826033,0.8685985510866849,94.09626875752471,342.00215703192407,221.15458728789187,0.012700165621936321,0.6502239108085632,0.41074136
62,13.0,9.035533905932738,0.9507349008071327,0.8125,4.068428945128219,154.15384615384616,220.30769230769232,0.57365483045578,0.635499119758606,0.60075414
63,19.0,13.65685424949238,0.776661503145017,1.0,4.918490759365935,195.68421052631578,220.57894736842104,0.5897907614707947,0.6314497590065002,0.60985017
64,40.0,24.727922061357855,0.8019018057149929,0.9090909090909091,7.136496464611085,127.125,224.2,0.6043928861618042,0.6383827328681946,0.62257344
65,31.0,19.449747468305834,0.6934636324221936,0.9117647058823529,6.282549314314218,273.1290322580645,222.58064516129033,0.6075832843780518,0.6275845170021057,0.6205269
66,11.0,8.414213562373096,0.7905694150420949,0.8461538461538461,3.742410318509555,156.0,226.0,0.6173384785652161,0.6301000118255615,0.62367463
67,19.0,14.242640687119286,0.7929303047525029,0.95,4.918490759365935,120.47368421052632,228.21052631578948,0.5540217161178589,0.6374624371528625,0.58336157
68,9.0,8.035533905932738,0.9220355298098003,0.9,3.385137501286538,12.222222222222221,230.55555555555554,0.5991778373718262,0.6111418008804321,0.60189784
69,10.0,8.207106781186548,0.6546536707079772,0.9090909090909091,3.5682482323055424,173.2,233.1,0.6234738230705261,0.6334130764007568,0.6292717
70,8.0,8.242640687119286,0.8843384945005575,1.0,3.1915382432114616,12.125,235.75,0.6073378920555115,0.6111418008804321,0.6089254
71,22.0,15.65685424949238,0.8640779449668834,1.0,5.292567428401227,178.5,238.0,0.5691146850585938,0.6174612045288086,0.59132457
72,11.0,8.414213562373096,0.7905694150420949,0.8461538461538461,3.742410318509555,124.0,238.0,0.6159887313842773,0.6259893178939819,0.62094164
73,35.0,21.27817459305202,0.8392595065080976,0.9459459459459459,6.6755811781245455,116.34285714285714,237.68571428571428,0.6191790699958801,0.6383213400840759,0.6305505
74,30.0,19.65685424949238,0.8780413452623483,0.9090909090909091,6.180387232371033,150.3,239.2,0.5613841414451599,0.6091784834861755,0.5806716
75,16.0,11.65685424949238,0.5773502691896258,1.0,4.51351666838205,171.5,242.0,0.6083195209503174,0.6170316934585571,0.61274076
76,25.0,16.485281374238568,0.6589752126678906,0.8928571428571429,5.641895835477563,214.56,242.72,0.569666862487793,0.6017547249794006,0.5914891
77,10.0,6.82842712474619,0.9128709291752768,1.0,3.5682482323055424,287.5,243.5,0.567212700843811,0.593349277973175,0.57896805
78,28.0,17.899494936611667,0.6765232092579805,0.9032258064516129,5.970821321441846,71.21428571428571,244.32142857142858,0.5385606288909912,0.630897581577301,0.59708744
79,19.0,13.65685424949238,0.776661503145017,1.0,4.918490759365935,79.6842105263158,244.57894736842104,0.6220626831054688,0.6347628831863403,0.6288923
80,31.0,19.656854249492383,0.6706814525339179,0.8378378378378378,6.282549314314218,31.258064516129032,246.16129032258064,0.6217559576034546,0.6377691626548767,0.62890464
81,14.0,11.414213562373096,0.8165399631383785,1.0,4.222008245644752,145.14285714285714,247.07142857142858,0.6298546195030212,0.6385054588317871,0.63421947
82,15.0,12.485281374238571,0.5946622473352391,0.8823529411764706,4.370193722368317,133.06666666666666,247.93333333333334,0.6279526352882385,0.6370943188667297,0.63260734
83,43.0,25.278174593052025,0.7616244434709425,0.8269230769230769,7.399277020331919,393.93023255813955,247.74418604651163,0.5464138984680176,0.6366034746170044,0.6166207
84,15.0,11.65685424949238,0.7343887778710586,1.0,4.370193722368317,154.26666666666668,248.93333333333334,0.5932879447937012,0.598871111869812,0.596192
85,26.0,18.035533905932738,0.8383763308872327,0.896551724137931,5.753627391751592,86.26923076923077,251.80769230769232,0.6021841764450073,0.6335971355438232,0.61417407
86,32.0,18.82842712474619,0.7242205959787218,1.0,6.383076486422923,38.25,250.84375,0.6130437254905701,0.6378918886184692,0.62863326
87,20.0,15.071067811865476,0.834178820106504,1.0,5.046265044040321,110.25,252.6,0.5657402276992798,0.6326155066490173,0.61020005
88,18.0,14.242640687119286,0.899994626486704,1.0,4.787307364817192,400.1666666666667,251.94444444444446,0.6134118437767029,0.6366034746170044,0.63001484
89,13.0,10.82842712474619,0.7027994916802893,1.0,4.068428945128219,120.23076923076923,253.23076923076923,0.5880728960037231,0.6286275386810303,0.60299593
90,9.0,8.035533905932738,0.9220355298098002,0.9,3.385137501286538,80.55555555555556,254.22222222222223,0.6043315529823303,0.6367262005805969,0.6214083
91,42.0,24.485281374238568,0.8683364625342512,0.9130434782608695,7.312732791431452,208.95238095238096,254.21428571428572,0.5770906209945679,0.6293023824691772,0.5977448
92,16.0,13.207106781186548,0.7876480070835765,0.8888888888888888,4.51351666838205,384.875,257.125,0.6002822518348694,0.6356831789016724,0.61475396
93,19.0,14.207106781186548,0.8955607245522076,0.95,4.918490759365935,390.6842105263158,257.05263157894734,0.5938401222229004,0.6122461557388306,0.59952015
94,25.0,16.485281374238568,0.6589752126678906,0.8928571428571429,5.641895835477563,51.72,258.44,0.6011411547660828,0.6190564036369324,0.60940915
95,19.0,13.65685424949238,0.776661503145017,1.0,4.918490759365935,144.31578947368422,258.57894736842104,0.5315049886703491,0.5547579526901245,0.54770875
96,84.0,38.97056274847714,0.8774453782477217,0.875,10.341765891652821,378.20238095238096,257.2857142857143,0.5337750911712646,0.6482606530189514,0.5754663
97,38.0,23.071067811865476,0.8612232479475685,0.926829268292683,6.955796338302048,23.94736842105263,258.3157894736842,0.5045095086097717,0.6374624371528625,0.5632829
98,31.0,18.485281374238568,0.7606434160319708,0.96875,6.282549314314218,155.29032258064515,259.19354838709677,0.5181912779808044,0.5939628481864929,0.58000785
99,13.0,11.035533905932738,0.5830102293069948,0.8125,4.068428945128219,110.38461538461539,259.3076923076923,0.5635315179824829,0.638566792011261,0.60880095
